;;;;;;;;;;;;;;;;;;
;;;;;Tabela de Preços - Com Estoque;;;;;;;;Emissão:;12/12/2025 10:57;;;;
;;;;;;;;;;;;;;;;Página;7;
;;;;;;;;;;;;;;;;;;
Código;;;;Produto;;;;;;;;;;Qt. Est.;;Preço;;
;;;;;;;;;;;;;;;;;;
000715;;ESTILETE STARRETT;;;;;;;;;;;;8;;22,22;;
000716;;ARCO DE SERRA STARRETT;;;;;;;;;;;;25;;47,22;;
000718;;BROCA ACO RAPIDO 3/32;;;;;;;;;;;;7;;2,78;;
000719;;BROCA ACO RAPIDO 5/32;;;;;;;;;;;;6;;5,33;;
000721;;BROCA ACO RAPIDO 9/32;;;;;;;;;;;;22;;16,11;;
000722;;BROCA ACO RAPIDO 9/64;;;;;;;;;;;;18;;3,89;;
000723;;BROCA ACO RAPIDO 13/64;;;;;;;;;;;;54;;9,45;;
000725;;BROCA ACO RAPIDO 15/64;;;;;;;;;;;;40;;11,11;;
000726;;BROCA ACO RAPIDO 17/64;;;;;;;;;;;;0;;16,11;;
000729;;SERRA COPO 35MM STARRETT;;;;;;;;;;;;1;;41,11;;
000730;;SERRA COPO 60MM STARRETT;;;;;;;;;;;;-2;;66,67;;
000731;;ADAPTADOR P/ SERRA COPO STARRETT;;;;;;;;;;;;2;;122,23;;
000736;;TINGIDOR CEDRO 100ML;;;;;;;;;;;;0;;33,34;;
000737;;TINGIDOR MOGNO 100ML;;;;;;;;;;;;0;;33,34;;
000738;;MASSA IMBUIA TABACO 380GR;;;;;;;;;;;;4;;16,67;;
000740;;MASSA MOGNO 380GR;;;;;;;;;;;;0;;16,67;;
000741;;EXTERMINADOR DE CUPIM 5LT;;;;;;;;;;;;6;;90,54;;
000744;;PORTA TAÇAS CURVO;;;;;;;;;;;;29;;33,34;;
000745;;PORTA TAÇAS RETO 250MM;;;;;;;;;;;;0;;24,45;;
000746;;PORTA TAÇAS RETO 350MM;;;;;;;;;;;;41;;26,67;;
000747;;PORTA TAÇAS RETO 420MM;;;;;;;;;;;;0;;28,89;;
000748;;CORREDICA 350MM TOQUE;;;;;;;;;;;;5;;38,89;;
000749;;FECHO TOQUE MAGNETICO SOBREPOR;;;;;;;;;;;;342;;4,45;;
000750;;FECHO TOQUE MAGNETICO EMBUTIR;;;;;;;;;;;;323;;5,56;;
000751;;BUCHA S-6 (TATU);;;;;;;;;;;;4.165;;0,09;;
000752;;BUCHA S-10 (TATU);;;;;;;;;;;;2.447;;0,28;;
000756;;TAPA FURO CARVALHO INDIANO;;;;;;;;;;;;23;;4,45;;
000759;;TAPA FURO MALBEC CASSIS;;;;;;;;;;;;159;;4,45;;
000761;;TAPA FURO AGATA;;;;;;;;;;;;-1;;4,45;;
000762;;TAPA FURO AMANTEA;;;;;;;;;;;;372;;4,45;;
000763;;TAPA FURO BRANCO;;;;;;;;;;;;748;;3,33;;
000764;;TAPA FURO HUNTER;;;;;;;;;;;;-2;;4,45;;
000765;;TAPA FURO LINHO;;;;;;;;;;;;114;;4,45;;
000768;;TAPA FURO TOLEDO;;;;;;;;;;;;26;;4,45;;
000769;;TAPA FURO VIRGINIA;;;;;;;;;;;;71;;4,45;;
000770;;TAPA FURO ZURICH;;;;;;;;;;;;261;;4,45;;
000775;;SERRA ALUMINIO 250 COM 80 DENTES;;;;;;;;;;;;1;;434,02;;
000784;;SERRA MADEIRA STARFER 184MM 60 DENTES;;;;;;;;;;;;51;;70,56;;
000788;;CHAVE ESTRELA 1/4X1.1/2;;;;;;;;;;;;55;;8,89;;
000789;;CHAVE ESTRELA 1/4X4;;;;;;;;;;;;-10;;10,00;;
000790;;CHAVE ESTRELA 1/4X6;;;;;;;;;;;;28;;11,11;;
000791;;CHAVE ESTRELA 1/4X8;;;;;;;;;;;;28;;16,67;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;MADEPINUS;;;
